pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
和歌山県,3005,御坊,HbA1c,糖尿病,8120,708,0.0871921182266009,4252,483,0.113593603010348,3868,225,0.0581695966907962,0.6077117852743834,56.07711785274383
和歌山県,3006,田辺,HbA1c,糖尿病,14806,1290,0.0871268404700797,7513,848,0.1128710235591641,7293,442,0.0606060606060606,0.6022373138806174,56.022373138806174
和歌山県,3007,新宮,HbA1c,糖尿病,8130,627,0.0771217712177121,4241,453,0.1068144305588304,3889,174,0.0447415788120339,-0.23683051463669932,47.63169485363301
埼玉県,1101,南部,HbA1c,糖尿病,149950,10337,0.0689363121040346,82033,7542,0.0919386100715565,67917,2795,0.0411531722543693,-0.9232980673031029,40.76701932696897
埼玉県,1102,南西部,HbA1c,糖尿病,139910,9516,0.0680151525980987,76151,6824,0.0896114299221284,63759,2692,0.0422214902994087,-1.0005504367637954,39.994495632362046
埼玉県,1103,東部,HbA1c,糖尿病,217850,16341,0.0750103282074822,114791,11378,0.0991192689322333,103059,4963,0.0481568810099069,-0.41390514120287053,45.86094858797129
埼玉県,1104,さいたま,HbA1c,糖尿病,261333,19023,0.072792184683909,144978,13697,0.0944764033163652,116355,5326,0.0457737097675218,-0.5999281284224635,44.00071871577536
埼玉県,1105,県央,HbA1c,糖尿病,109174,8182,0.0749445838752816,58202,5649,0.097058520325762,50972,2533,0.0496939496193988,-0.41941874162535825,45.805812583746416
埼玉県,1106,川越比企,HbA1c,糖尿病,152997,11350,0.0741844611332248,82166,7796,0.094881094369934,70831,3554,0.0501757704959692,-0.48316588045034004,45.1683411954966
埼玉県,1107,西部,HbA1c,糖尿病,154581,11449,0.0740647298180242,82584,8215,0.0994744744744744,71997,3234,0.044918538272428,-0.4932070597882158,45.06792940211784
埼玉県,1108,利根,HbA1c,糖尿病,125324,10850,0.0865755960550253,67388,7403,0.1098563542470469,57936,3447,0.059496685998343,0.5560076034553207,55.560076034553205
埼玉県,1109,北部,HbA1c,糖尿病,94065,8025,0.085313347153564,50838,5583,0.1098194264133128,43227,2442,0.0564924699840377,0.4501500208556936,54.501500208556934
埼玉県,1110,秩父,HbA1c,糖尿病,17623,1464,0.0830732565397491,9371,987,0.1053249386404866,8252,477,0.057804168686379,0.2622864569357429,52.62286456935743
大分県,4401,東部,HbA1c,糖尿病,28050,2245,0.0800356506238859,13185,1374,0.1042093287827076,14865,871,0.0585940127817019,0.007539854446054149,50.07539854446054
大分県,4403,中部,HbA1c,糖尿病,93179,6980,0.0749095826312795,48326,4786,0.099035715763771,44853,2194,0.0489153456847925,-0.42235409540047575,45.77645904599524
大分県,4405,南部,HbA1c,糖尿病,10075,912,0.0905210918114143,4646,594,0.1278519156263452,5429,318,0.0585743230797568,0.8868937246037779,58.86893724603778
大分県,4406,豊肥,HbA1c,糖尿病,8062,784,0.0972463408583478,3885,502,0.1292149292149292,4177,282,0.0675125688293033,1.4509018260682738,64.50901826068274
大分県,4408,西部,HbA1c,糖尿病,10561,875,0.082852002651264,5047,566,0.1121458292054685,5514,309,0.0560391730141458,0.2437311611072525,52.43731161107252
大分県,4409,北部,HbA1c,糖尿病,23868,2184,0.0915032679738562,12784,1438,0.1124843554443053,11084,746,0.0673042223024179,0.9692632114163341,59.692632114163345
大阪府,2701,豊能,HbA1c,糖尿病,193403,11716,0.0605781709694265,102313,8414,0.0822378387888147,91090,3302,0.0362498627730815,-1.6242474715860689,33.75752528413931
大阪府,2702,三島,HbA1c,糖尿病,134440,8498,0.0632103540612912,70153,6083,0.0867104756745969,64287,2415,0.0375659153483597,-1.4035013582467455,35.96498641753254
大阪府,2703,北河内,HbA1c,糖尿病,185930,13057,0.0702253536277093,96481,9240,0.0957701516360734,89449,3817,0.0426723607865934,-0.815193541001854,41.84806458998146
大阪府,2704,中河内,HbA1c,糖尿病,127134,9208,0.072427517422562,65685,6461,0.0983634010809165,61449,2747,0.0447037380592035,-0.6305106820651958,43.69489317934804
大阪府,2705,南河内,HbA1c,糖尿病,97328,7486,0.0769151734341607,49369,5139,0.1040936620146245,47959,2347,0.0489376342292374,-0.25415668692480703,47.45843313075193
大阪府,2706,堺市,HbA1c,糖尿病,131068,9239,0.0704901272621845,68869,6631,0.0962842498076057,62199,2608,0.0419299345648643,-0.7929884934480689,42.07011506551931
大阪府,2707,泉州,HbA1c,糖尿病,145519,10608,0.0728976972079247,75778,7509,0.0990920847739449,69741,3099,0.0444358411838086,-0.591079397626693,44.08920602373307
大阪府,2708,大阪市,HbA1c,糖尿病,471778,30869,0.0654311985722098,261922,23094,0.0881712876352501,209856,7775,0.0370492146996035,-1.2172518546953224,37.82748145304677
奈良県,2901,奈良,HbA1c,糖尿病,60916,3918,0.0643180773524197,29660,2752,0.0927848954821308,31256,1166,0.0373048374712055,-1.3106029531442218,36.89397046855778
