pref_code,pref,pref_en,area,topo_id,region_code,region_name,domain,indicator,n_total,n_risk,risk_rate,risk_rate_pct,n_male,n_risk_male,risk_rate_male,risk_rate_male_pct,n_female,n_risk_female,risk_rate_female,risk_rate_female_pct
01,北海道,Hokkaido,北海道,JP.HK,105,後志,CKD,eGFR,3089,257,0.0831984460990611,8.32,1923,163,0.0847633905356214,8.48,1166,94,0.0806174957118353,8.06
01,北海道,Hokkaido,北海道,JP.HK,105,後志,CKD,尿蛋白,36617,1362,0.0371958379987437,3.72,20124,961,0.0477539256609024,4.78,16493,401,0.024313345055478,2.43
01,北海道,Hokkaido,北海道,JP.HK,105,後志,心血管,LDL,36662,10359,0.282554143254596,28.26,20090,5623,0.2798904927824788,27.99,16572,4736,0.2857832488534878,28.58
01,北海道,Hokkaido,北海道,JP.HK,105,後志,心血管,中性脂肪,36692,6508,0.1773683636760056,17.74,20106,4626,0.2300805729632945,23.01,16586,1882,0.1134691908838779,11.35
01,北海道,Hokkaido,北海道,JP.HK,105,後志,心血管,収縮期血圧,36787,8631,0.2346209258705521,23.46,20172,5203,0.2579317866349395,25.79,16615,3428,0.2063195907312669,20.63
01,北海道,Hokkaido,北海道,JP.HK,105,後志,心血管,心電図,714,107,0.149859943977591,14.99,424,75,0.1768867924528301,17.69,290,32,0.1103448275862069,11.03
01,北海道,Hokkaido,北海道,JP.HK,105,後志,糖尿病,HbA1c,27830,2217,0.0796622349982033,7.97,14745,1559,0.1057307561885384,10.57,13085,658,0.0502865876958349,5.03
01,北海道,Hokkaido,北海道,JP.HK,105,後志,糖尿病,空腹時血糖,29599,2041,0.0689550322646035,6.9,16283,1559,0.0957440275133574,9.57,13316,482,0.0361970561730249,3.62
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,CKD,eGFR,2508,294,0.1172248803827751,11.72,1513,188,0.1242564441506939,12.43,995,106,0.1065326633165829,10.65
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,CKD,尿蛋白,28700,845,0.0294425087108013,2.94,15772,608,0.0385493279229013,3.85,12928,237,0.018332301980198,1.83
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,心血管,LDL,28587,7380,0.258159303179767,25.82,15672,4021,0.2565722307299642,25.66,12915,3359,0.2600851722802942,26.01
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,心血管,中性脂肪,28769,5246,0.1823490562758525,18.23,15768,3724,0.2361745306950786,23.62,13001,1522,0.1170679178524728,11.71
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,心血管,収縮期血圧,28788,6766,0.2350284840905933,23.5,15784,4167,0.264001520527116,26.4,13004,2599,0.199861581051984,19.99
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,心血管,心電図,198,22,0.1111111111111111,11.11,103,11,0.1067961165048543,10.68,95,11,0.1157894736842105,11.58
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,糖尿病,HbA1c,21038,1901,0.0903603004087841,9.04,11101,1315,0.1184577965949013,11.85,9937,586,0.0589715205796518,5.9
01,北海道,Hokkaido,北海道,JP.HK,106,南空知,糖尿病,空腹時血糖,24435,1627,0.0665848168610599,6.66,13208,1246,0.0943367655966081,9.43,11227,381,0.0339360470294825,3.39
