pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
北海道,0103,北渡島檜山,HbA1c,糖尿病,4457,372,0.08346421359658963,2491,271,0.10879164993978321,1966,101,0.05137334689725331
北海道,0104,札幌,HbA1c,糖尿病,319445,20157,0.06310006417380144,173753,15402,0.088643073788654,145692,4755,0.032637344535046534
北海道,0105,後志,HbA1c,糖尿病,27830,2217,0.07966223499820338,14745,1559,0.10573075618853849,13085,658,0.050286587695834925
北海道,0106,南空知,HbA1c,糖尿病,21038,1901,0.09036030040878411,11101,1315,0.11845779659490135,9937,586,0.058971520579651805
北海道,0107,中空知,HbA1c,糖尿病,16276,1609,0.09885721307446547,8297,1065,0.12835964806556588,7979,544,0.06817896979571375
北海道,0108,北空知,HbA1c,糖尿病,5158,496,0.09616130283055448,2746,346,0.1260014566642389,2412,150,0.06218905472636816
北海道,0109,西胆振,HbA1c,糖尿病,23456,1878,0.08006480218281037,11812,1244,0.10531662715882154,11644,634,0.05444864307798008
北海道,0110,東胆振,HbA1c,糖尿病,41238,3165,0.0767495998836025,23567,2240,0.09504816056349981,17671,925,0.052345651066719484
北海道,0111,日高,HbA1c,糖尿病,8578,791,0.09221263697831662,4721,547,0.11586528277907224,3857,244,0.06326160228156598
北海道,0112,上川中部,HbA1c,糖尿病,58776,4618,0.07856948414318769,30310,3204,0.10570768723193666,28466,1414,0.04967329445654465
北海道,0113,上川北部,HbA1c,糖尿病,10306,1027,0.09965068891907626,5503,700,0.12720334363074687,4803,327,0.06808244846970643
北海道,0114,富良野,HbA1c,糖尿病,8627,769,0.08913875043468181,4503,516,0.1145902731512325,4124,253,0.06134820562560621
北海道,0115,留萌,HbA1c,糖尿病,5869,604,0.10291361390356109,3120,392,0.12564102564102564,2749,212,0.07711895234630775
北海道,0116,宗谷,HbA1c,糖尿病,8343,709,0.08498142155100084,4581,515,0.11242086880593757,3762,194,0.051568314726209465
北海道,0117,北網,HbA1c,糖尿病,27019,2380,0.08808616158999223,14120,1613,0.11423512747875354,12899,767,0.05946197379641833
北海道,0118,遠紋,HbA1c,糖尿病,10307,1069,0.1037159212185893,5636,702,0.12455642299503193,4671,367,0.07856989937914793
北海道,0119,十勝,HbA1c,糖尿病,58552,5423,0.09261852712119142,30445,3688,0.12113647561175891,28107,1735,0.06172839506172839
北海道,0120,釧路,HbA1c,糖尿病,30824,3024,0.09810537243706204,16599,2072,0.12482679679498765,14225,952,0.06692442882249561
北海道,0121,根室,HbA1c,糖尿病,10192,845,0.08290816326530612,5642,605,0.10723147819922013,4550,240,0.05274725274725275
千葉県,1201,千葉,HbA1c,糖尿病,195763,13688,0.0699212823669437,107105,10041,0.09374912469072405,88658,3647,0.04113559972027341
千葉県,1202,東葛南部,HbA1c,糖尿病,359421,23993,0.06675458584779409,194152,17627,0.09078969055173267,165269,6366,0.03851902050596301
千葉県,1203,東葛北部,HbA1c,糖尿病,277372,19917,0.07180609434261569,147867,13984,0.09457147301291025,129505,5933,0.04581290297671905
千葉県,1204,印旛,HbA1c,糖尿病,133297,9870,0.0740451773108172,70347,7139,0.1014826502907018,62950,2731,0.043383637807783954
千葉県,1205,香取海匝,HbA1c,糖尿病,49177,4296,0.08735791121865913,25142,2883,0.1146686818868825,24035,1413,0.058789265654254214
千葉県,1206,山武長生夷隅,HbA1c,糖尿病,84561,7944,0.09394401674530813,44784,5467,0.12207484816005716,39777,2477,0.06227216733288081
千葉県,1207,安房,HbA1c,糖尿病,17505,1723,0.09842902027992002,8605,1124,0.1306217315514236,8900,599,0.06730337078651685
千葉県,1208,君津,HbA1c,糖尿病,66234,5753,0.08685871304767943,36985,4141,0.11196430985534676,29249,1612,0.05511299531607918
千葉県,1209,市原,HbA1c,糖尿病,50211,4231,0.08426440421421601,26539,2945,0.11096876295263575,23672,1286,0.05432578573842514
和歌山県,3001,和歌山,HbA1c,糖尿病,57841,5154,0.08910634325132691,29735,3456,0.11622666890869346,28106,1698,0.0604141464455988
和歌山県,3002,那賀,HbA1c,糖尿病,16385,1305,0.07964601769911504,8236,912,0.11073336571151045,8149,393,0.04822677629156952
和歌山県,3003,橋本,HbA1c,糖尿病,12134,993,0.08183616284819516,6377,673,0.10553551826877842,5757,320,0.055584505819002955
和歌山県,3004,有田,HbA1c,糖尿病,9112,771,0.08461369622475856,4636,545,0.11755823986194995,4476,226,0.050491510277033066
和歌山県,3005,御坊,HbA1c,糖尿病,8120,708,0.08719211822660099,4252,483,0.11359360301034807,3868,225,0.05816959669079628
